furigana,kanji,romaji,lang_es,lecture_number,lecture_name,lecture_name_es
せんせい,先生,sensei,profesor,1,じこしょうかい,presentación
がくせい,学生,gakusei,estudiante,1,じこしょうかい,presentación
かいしゃいん,会社員,kaishain,empleado de empresa,1,じこしょうかい,presentación
こうむいん,公務員,koumuin,funcionario público,1,じこしょうかい,presentación
べんごし,弁護士,bengoshi,abogado,1,じこしょうかい,presentación
けんちくか,建築家,kenchikuka,arquitecto,1,じこしょうかい,presentación
いしゃ,医者,isha,doctor,1,じこしょうかい,presentación
かんごし,看護師,kangoshi,enfermero,1,じこしょうかい,presentación
けいさつかん,警察官,keisatsukan,policia,1,じこしょうかい,presentación
しゅふ,主婦,shufu,ama de casa,1,じこしょうかい,presentación
エンジニア,エンジニア,enjinia,ingeniero,1,じこしょうかい,presentación
うんてんしゅ,運転手,untenshu,conductor,1,じこしょうかい,presentación
どくしょ,読書,dokusho,lectura,2,しゅみ,pasatiempo
おんがく,音楽,ongaku,musica,2,しゅみ,pasatiempo
えいが,映画,eiga,pelicula,2,しゅみ,pasatiempo
え,絵,e,pintura,2,しゅみ,pasatiempo
ダンス,ダンス,dansu,baile,2,しゅみ,pasatiempo
サッカー,サッカー,sakkaa,fútbol,2,しゅみ,pasatiempo
テニス,テニス,tenisu,tenis ,2,しゅみ,pasatiempo
すいえい,水泳,suiei,natación,2,しゅみ,pasatiempo
やきゅう,野球,yakyuu,béisbol,2,しゅみ,pasatiempo
りょこう,旅行,ryokou,viaje,2,しゅみ,pasatiempo
ゲーム,ゲーム,geemu,videojuego,2,しゅみ,pasatiempo
しょどう,書道,shodou,caligrafía,2,しゅみ,pasatiempo
